Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Situação totalização;Votos válidos;Votos nominais;Data de carga;eleicao
13919;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;FRECHEIRINHA;MAIKE BISPO PONTES;40;Servidor Público Municipal;PSB;Não Eleito;11809;5637;2026-02-28 19:30:47;2024
14591;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;MARTINÓPOLE;FILIPE FELIX SOUSA;44;Contador;UNIÃO;Não Eleito;9285;2501;2026-02-28 19:30:47;2024
15997;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;PARAIPABA;ARIANA CORDEIRO FAÇANHA DE AQUINO;10;Prefeito;REPUBLICANOS;Eleito;20496;20496;2026-02-28 19:30:47;2024
14133;Parda;Casado(a);25 a 29 anos;Masculino;Superior completo;INDEPENDÊNCIA;WILLIAM VIEIRA;13;Engenheiro;PT;Eleito;18120;10940;2026-02-28 19:30:47;2024
13250;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;ARARIPE;JOSE PAULINO PEREIRA;13;Vereador;PT;Eleito;14059;7146;2026-02-28 19:30:47;2024
13730;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;CAUCAIA;NAUMI GOMES DE AMORIM;55;Empresário;PSD;Eleito;181849;109835;2026-02-28 19:30:47;2024
13633;Parda;Casado(a);60 a 64 anos;Masculino;Superior completo;CARIRIAÇU;LUIZ ACACIO MACHADO LEITE;13;Empresário;PT;Eleito;20440;10778;2026-02-28 19:30:47;2024
13358;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental completo;BAIXIO;RAIMUNDO AMAURILIO ARAUJO OLIVEIRA;12;Prefeito;PDT;Não Eleito;4916;2374;2026-02-28 19:30:47;2024
15075;Branca;Divorciado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;PARAMBU;ROMULO CESAR FEITOSA SOUSA;40;Agricultor;PSB;Não Eleito;20189;2168;2026-02-28 19:30:47;2024
13129;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;BARREIRA;MARIA AUXILIADORA BEZERRA FECHINE;55;Médico;PSD;Não Eleito;16805;7432;2026-02-28 19:30:47;2024
13382;Branca;Casado(a);30 a 34 anos;Feminino;Superior completo;BANABUIÚ;ANNE VILENE MACHADO NOBRE DE VASCONCELOS;15;Vereador;MDB;Não Eleito;13550;5967;2026-02-28 19:30:47;2024
