Ano de eleição;Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Turno;Zona;Votos válidos;Votos nominais;Data de carga
2024;13897;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;EVANDRO SA BARRETO LEITAO;13;Deputado;PT;NORDESTE;Eleito;2;83;88362;44437;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;EVANDRO SA BARRETO LEITAO;13;Deputado;PT;NORDESTE;Eleito;2;114;84969;43481;2026-02-28 19:30:47
2024;14672;Branca;Solteiro(a);55 a 59 anos;Masculino;Ensino Médio completo;MILAGRES;JORGIANO ZUZA PEREIRA;45;Agricultor;PSDB;NORDESTE;Não Eleito;1;26;17869;168;2026-02-28 19:30:47
2024;13757;Branca;Solteiro(a);35 a 39 anos;Masculino;Superior completo;CEDRO;SAMUEL ENEIAS PINHEIRO VIANA;13;Médico;PT;NORDESTE;Não Eleito;1;13;16670;7815;2026-02-28 19:30:47
2024;13471;Parda;Solteiro(a);55 a 59 anos;Masculino;Superior incompleto;BOA VIAGEM;AMANCIO JOSE DE LIMA FILHO;50;Advogado;PSOL;NORDESTE;Não Eleito;1;63;33851;3242;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;FORTALEZA;WAGNER SOUSA GOMES;44;Policial Militar;UNIÃO;NORDESTE;Não Eleito;1;114;83366;11464;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;FORTALEZA;WAGNER SOUSA GOMES;44;Policial Militar;UNIÃO;NORDESTE;Não Eleito;1;113;84049;11021;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;FORTALEZA;WAGNER SOUSA GOMES;44;Policial Militar;UNIÃO;NORDESTE;Não Eleito;1;2;83472;8117;2026-02-28 19:30:47
2024;15474;Branca;Solteiro(a);50 a 54 anos;Masculino;Superior completo;SÃO BENEDITO;MICHELL DO AMARAL ALMEIDA;15;Médico;MDB;NORDESTE;Não Eleito;1;22;26608;1681;2026-02-28 19:30:47
2024;14338;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental completo;ITATIRA;JOSE ICASSI GONÇALVES UMBELINO;20;Empresário;PODE;NORDESTE;Não Eleito;1;33;14692;2795;2026-02-28 19:30:47
2024;13897;Parda;Solteiro(a);60 a 64 anos;Masculino;Superior completo;FORTALEZA;FRANCISCO RAIMUNDO MALTA DE ARAUJO;21;Advogado;PCB;NORDESTE;Não Eleito;1;1;94182;0;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;FORTALEZA;JOSÉ BATISTA NETO;16;Trabalhador de Construção Civil;PSTU;NORDESTE;Não Eleito;1;83;86575;25;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;FORTALEZA;JOSÉ BATISTA NETO;16;Trabalhador de Construção Civil;PSTU;NORDESTE;Não Eleito;1;94;79500;43;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;FORTALEZA;JOSÉ BATISTA NETO;16;Trabalhador de Construção Civil;PSTU;NORDESTE;Não Eleito;1;85;74907;32;2026-02-28 19:30:47
2024;13919;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;FRECHEIRINHA;FRANCISCO MESQUITA PORTELA;55;Empresário;PSD;NORDESTE;Eleito;1;81;11809;6172;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;NORDESTE;Não Eleito;2;94;80956;41293;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;NORDESTE;Não Eleito;2;2;84574;41864;2026-02-28 19:30:47
2024;13692;Branca;Casado(a);45 a 49 anos;Feminino;Superior completo;CASCAVEL;ANA PAULA VILA REAL DANTAS;20;Contador;PODE;NORDESTE;Não Eleito;1;7;49302;552;2026-02-28 19:30:47
2024;13773;Branca;Viúvo(a);55 a 59 anos;Masculino;Ensino Médio completo;CHAVAL;PAULO SERGIO DE ALMEIDA PACHECO;10;Outros;REPUBLICANOS;NORDESTE;Não Eleito;1;108;8887;3166;2026-02-28 19:30:47
2024;13897;Preta;Separado(a) judicialmente;35 a 39 anos;Masculino;Ensino Médio completo;FORTALEZA;TECIO NUNES SALGADO;50;Outros;PSOL;NORDESTE;Não Eleito;1;115;84003;615;2026-02-28 19:30:47
2024;13730;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;CAUCAIA;ANTONIO AGINALDO DE OLIVEIRA;22;Militar Reformado;PL;NORDESTE;Não Eleito;1;123;75486;8964;2026-02-28 19:30:47
2024;13854;Branca;Divorciado(a);50 a 54 anos;Masculino;Superior completo;CRATO;ALOISIO ANTONIO GOMES DE MATOS BRASIL;44;Médico;UNIÃO;NORDESTE;Não Eleito;1;27;76107;35747;2026-02-28 19:30:47
2024;13897;Parda;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;LUIS EDUARDO GRANGEIRO GIRÃO;30;Senador;NOVO;NORDESTE;Não Eleito;1;115;84003;799;2026-02-28 19:30:47
2024;13331;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;AURORA;MARCONE TAVARES DE LUNA;13;Empresário;PT;NORDESTE;Eleito;1;69;16685;8834;2026-02-28 19:30:47
2024;15679;Branca;Casado(a);55 a 59 anos;Feminino;Superior completo;TAUÁ;PATRÍCIA PEQUENO COSTA GOMES DE AGUIAR;55;Advogado;PSD;NORDESTE;Eleito;1;19;37542;26291;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;NORDESTE;Não Eleito;2;93;72013;36499;2026-02-28 19:30:47
2024;13897;Preta;Separado(a) judicialmente;35 a 39 anos;Masculino;Ensino Médio completo;FORTALEZA;TECIO NUNES SALGADO;50;Outros;PSOL;NORDESTE;Não Eleito;1;116;90402;491;2026-02-28 19:30:47
2024;13897;Preta;Separado(a) judicialmente;35 a 39 anos;Masculino;Ensino Médio completo;FORTALEZA;TECIO NUNES SALGADO;50;Outros;PSOL;NORDESTE;Não Eleito;1;93;70741;419;2026-02-28 19:30:47
2024;13307;Parda;Solteiro(a);45 a 49 anos;Masculino;Ensino Médio incompleto;OCARA;GILBERTO LOPES DA SILVA;12;Empresário;PDT;NORDESTE;Não Eleito;1;67;22746;107;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;FORTALEZA;WAGNER SOUSA GOMES;44;Policial Militar;UNIÃO;NORDESTE;Não Eleito;1;117;84214;8701;2026-02-28 19:30:47
2024;14834;Parda;Casado(a);35 a 39 anos;Feminino;Superior completo;MULUNGU;LYZIANE CRISTINA MALTA BITAR FARIAS LIMA;15;Vereador;MDB;NORDESTE;Não Eleito;1;5;8272;3148;2026-02-28 19:30:47
2024;14931;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;PACAJUS;ALEXANDRE OLIVEIRA NOGUEIRA;20;Jornalista e Redator;PODE;NORDESTE;Não Eleito;1;49;44843;12357;2026-02-28 19:30:47
2024;13412;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BATURITÉ;RAIMUNDO IVO DOS SANTOS OLIVEIRA JÚNIOR;55;Empresário;PSD;NORDESTE;Não Eleito;1;5;22708;4650;2026-02-28 19:30:47
2024;13897;Parda;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;LUIS EDUARDO GRANGEIRO GIRÃO;30;Senador;NOVO;NORDESTE;Não Eleito;1;85;74907;588;2026-02-28 19:30:47
