Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
15679;Branca;Divorciado(a);40 a 44 anos;Masculino;Superior completo;TAUÁ;CARLOS WINDSON CAVALCANTE MOTA;22;Médico;PR;NORDESTE;Eleito;32481;16287;2026-01-19 14:01:28
15539;Parda;Casado(a);35 a 39 anos;Feminino;Superior incompleto;SÃO LUÍS DO CURU;CAROLINA DE ARAUJO RAMALHO PEQUENO;22;Professor de Ensino Fundamental;PR;NORDESTE;Eleito;10062;6160;2026-01-19 14:01:28
13692;Parda;Solteiro(a);65 a 69 anos;Masculino;Ensino Fundamental incompleto;CASCAVEL;JOSE ISAIAS DE LIMA;43;Empresário;PV;NORDESTE;Não Eleito;39608;10609;2026-01-19 14:01:28
15415;Parda;Divorciado(a);55 a 59 anos;Masculino;Superior completo;SANTANA DO ACARAÚ;RAIMUNDO MARCELO ARCANJO;15;Servidor Público Federal;PMDB;NORDESTE;Eleito;20714;10827;2026-01-19 14:01:28
14117;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;IGUATU;ADERILO ANTUNES ALCANTARA FILHO;55;Agricultor;PSD;NORDESTE;Não Eleito;52519;20439;2026-01-19 14:01:28
15431;Parda;Solteiro(a);25 a 29 anos;Masculino;Superior completo;SANTANA DO CARIRI;PEDRO HENRIQUE CORREIA LOPES;15;Empresário;PMDB;NORDESTE;Eleito;9993;5004;2026-01-19 14:01:28
14214;Parda;Casado(a);60 a 64 anos;Masculino;Superior completo;IRACEMA;JOSE JUAREZ DIOGENES TAVARES;13;Prefeito;PT;NORDESTE;Eleito;8957;5526;2026-01-19 14:01:28
15776;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;URUBURETAMA;LUIZ VLADEIRTON OLIVEIRA DE QUEIROZ FILHO;55;Administrador;PSD;NORDESTE;Não Eleito;13807;1746;2026-01-19 14:01:28
15156;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;PENTECOSTE;LUIZA DE MARILAC MARTINS E SILVA PERDIGÃO;55;Advogado;PSD;NORDESTE;Não Eleito;26223;10350;2026-01-19 14:01:28
15695;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental incompleto;TIANGUÁ;JOSE CARDOSO TERCEIRO;51;Vendedor de Comércio Varejista e Atacadista;PEN;NORDESTE;Não Eleito;41969;192;2026-01-19 14:01:28
15059;Branca;Viúvo(a);80 a 84 anos;Masculino;Ensino Médio completo;PARACURU;JOSÉ RIBAMAR BARROSO BAPTISTA;45;Empresário;PSDB;NORDESTE;Eleito;24158;9778;2026-01-19 14:01:28
13269;Preta;Divorciado(a);45 a 49 anos;Masculino;Superior completo;POTIRETAMA;JOSE EUDES DA SILVA;55;Contador;PSD;NORDESTE;Eleito;4653;2665;2026-01-19 14:01:28
14575;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;MARCO;ROGER NEVES AGUIAR;55;Empresário;PSD;NORDESTE;Eleito;18200;10750;2026-01-19 14:01:28
13498;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;BREJO SANTO;TERESA MARIA LANDIM TAVARES;12;Farmacêutico;PDT;NORDESTE;Eleito;26268;19886;2026-01-19 14:01:28
15350;Branca;Casado(a);30 a 34 anos;Masculino;Superior incompleto;RERIUTABA;OSVALDO HONORIO LEMOS NETO;12;Empresário;PDT;NORDESTE;Eleito;11406;8660;2026-01-19 14:01:28
