Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
14273;#NE#;Solteiro(a);50 a 54 anos;Masculino;Superior completo;ITAPAGÉ;FRANCISCO MARQUES MOTA;11;Sacerdote ou Membro de Ordem ou Seita Religiosa;PP;NORDESTE;Não Eleito;30422;13297;2021-07-26 16:58:35
14176;#NE#;Solteiro(a);21 a 24 anos;Masculino;Ensino Médio completo;IPU;DIEGO JOSÉ DE LIMA CARLOS;10;Empresário;PRB;NORDESTE;Não Eleito;21991;9502;2021-07-26 16:58:35
13455;#NE#;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;BELA CRUZ;CARLOS CESAR DE CARVALHO;13;Agricultor;PT;NORDESTE;Não Eleito;16422;942;2021-07-26 16:58:35
14877;#NE#;Casado(a);40 a 44 anos;Masculino;Ensino Fundamental completo;NOVA RUSSAS;FRANCISCO ARMANDO MARQUES BEZERRA;27;Agricultor;PSDC;NORDESTE;Não Eleito;16781;798;2021-07-26 16:58:35
14656;#NE#;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;MERUOCA;MANUEL COSTA GOMES;13;Comerciante;PT;NORDESTE;Eleito;7420;4752;2021-07-26 16:58:35
13307;#NE#;Casado(a);50 a 54 anos;Feminino;Ensino Médio completo;OCARA;AMALIA LOPES DE SOUSA;11;Empresário;PP;NORDESTE;Não Eleito;18386;8151;2021-07-26 16:58:35
13897;#NE#;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;HEITOR CORREIA FERRER;12;Médico;PDT;NORDESTE;Não Eleito;88916;14671;2021-07-26 16:58:35
15881;#NE#;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental incompleto;CROATÁ;ANTONIO FELINTO FILHO;15;Outros;PMDB;NORDESTE;Eleito;9427;5572;2021-07-26 16:58:35
13226;#NE#;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;EUSÉBIO;ACACI ANTONIO DE AMORIM;65;Comerciante;PC do B;NORDESTE;Não Eleito;26952;491;2021-07-26 16:58:35
14958;#NE#;Casado(a);45 a 49 anos;Masculino;Superior completo;PACATUBA;RENATO CELIO CHAVES RODRIGUES;55;Engenheiro;PSD;NORDESTE;Não Eleito;18836;0;2021-07-26 16:58:35
15539;#NE#;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;SÃO LUÍS DO CURU;EDGAR BEZERRA MARTINS;33;Outros;PMN;NORDESTE;Não Eleito;9717;470;2021-07-26 16:58:35
13897;#NE#;Solteiro(a);40 a 44 anos;Masculino;Superior completo;FORTALEZA;RENATO ROSENO DE OLIVEIRA;50;Advogado;PSOL;NORDESTE;Não Eleito;100874;11966;2021-07-26 16:58:35
14478;#NE#;Divorciado(a);50 a 54 anos;Masculino;Superior completo;JUAZEIRO DO NORTE;MANOEL RAIMUNDO DE SANTANA NETO;13;Prefeito;PT;NORDESTE;Não Eleito;62965;22448;2021-07-26 16:58:35
13455;#NE#;Casado(a);45 a 49 anos;Masculino;Superior completo;BELA CRUZ;CARLOS ANTONIO VASCONCELOS CARVALHO;40;Servidor Público Federal;PSB;NORDESTE;Eleito;16422;8583;2021-07-26 16:58:35
13218;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;ARACATI;RICARDO JOSE DE OLIVEIRA SILVA;40;Vereador;PTB;NORDESTE;Não Eleito;42011;14912;2021-07-26 16:58:35
13897;#NE#;Solteiro(a);40 a 44 anos;Masculino;Superior completo;FORTALEZA;ELMANO DE FREITAS DA COSTA;13;Advogado;PT;NORDESTE;Segundo turno;72413;12725;2021-07-26 16:58:35
13897;#NE#;Solteiro(a);40 a 44 anos;Masculino;Superior completo;FORTALEZA;ELMANO DE FREITAS DA COSTA;13;Advogado;PT;NORDESTE;Não Eleito;84603;41214;2021-07-26 16:58:35
15253;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;POTENGI;SAMUEL CARLOS TENORIO ALVES DE ALENCAR;65;Prefeito;PC do B;NORDESTE;Eleito;5955;3200;2021-07-26 16:58:35
13374;#NE#;Casado(a);55 a 59 anos;Masculino;Superior completo;BARBALHA;JOSÉ LEITE GONÇALVES CRUZ;13;Administrador;PT;NORDESTE;Eleito;31691;17079;2021-07-26 16:58:35
13897;#NE#;Casado(a);35 a 39 anos;Masculino;Superior completo;FORTALEZA;ROBERTO CLAUDIO RODRIGUES BEZERRA;40;Médico;PSB;NORDESTE;Segundo turno;100874;23000;2021-07-26 16:58:35
15199;#NE#;Casado(a);60 a 64 anos;Feminino;Ensino Médio completo;PIQUET CARNEIRO;MARIA NEUMA BEZERRA DAS CHAGAS;65;Outros;PC do B;NORDESTE;Não Eleito;5893;0;2021-07-26 16:58:35
13420;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;ARARENDÁ;ARISTEU ALVES EDUARDO;13;Contador;PT;NORDESTE;Eleito;6431;3660;2021-07-26 16:58:35
15717;#NE#;Casado(a);50 a 54 anos;Masculino;Superior completo;TRAIRI;FRANCISCO JOSE FERREIRA NORONHA;15;Servidor Público Municipal;PMDB;NORDESTE;Não Eleito;29403;10347;2021-07-26 16:58:35
13897;#NE#;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;MORONI BING TORGAN;25;Sacerdote ou Membro de Ordem ou Seita Religiosa;DEM;NORDESTE;Não Eleito;129718;18921;2021-07-26 16:58:35
13897;#NE#;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;MORONI BING TORGAN;25;Sacerdote ou Membro de Ordem ou Seita Religiosa;DEM;NORDESTE;Não Eleito;105387;12752;2021-07-26 16:58:35
15652;#NE#;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;TAMBORIL;PEDRO CALISTO DA SILVA;15;Vereador;PMDB;NORDESTE;Não Eleito;15564;7264;2021-07-26 16:58:35
13897;#NE#;Casado(a);35 a 39 anos;Masculino;Superior completo;FORTALEZA;ROBERTO CLAUDIO RODRIGUES BEZERRA;40;Médico;PSB;NORDESTE;Eleito;100766;55489;2021-07-26 16:58:35
13897;#NE#;Casado(a);35 a 39 anos;Masculino;Superior completo;FORTALEZA;ROBERTO CLAUDIO RODRIGUES BEZERRA;40;Médico;PSB;NORDESTE;Eleito;70854;44387;2021-07-26 16:58:35
15075;#NE#;Divorciado(a);40 a 44 anos;Masculino;Ensino Médio completo;PARAMBU;JOSÉ IVAN LIMA DE OLIVEIRA;11;Vereador;PP;NORDESTE;Não Eleito;19097;6245;2021-07-26 16:58:35
